workflow,quality_level,method,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status,selected_initializer
workflow2,Q2,decomposition,inf,4.36411449329337,2239.078732362877,6420.560298984534,10879.36872440316,0.06624,1275.7559745815954,334.3927232510032,INFEASIBLE,
workflow2,Q2,greedy,0.0615,4.364091223665369,2239.487672972488,6420.969281391245,10879.777625692795,0.06634,1276.027064415561,89.38887850000174,optimal,
workflow2,Q2,murakkab_profile,0.08542,11.34284015370518,2650.9887315540964,7057.930970787807,11598.533262960134,0.08576,1581.8258220522275,12.983241125009954,optimal,
workflow2,Q2,single_cloud,0.07014,9.8483756216501,2768.432720738861,6809.573258054225,10592.637695158865,0.07368,1162.260561578748,21.734935000000405,optimal,
workflow2,Q3,decomposition,inf,8.667616424971454,4024.628282830504,11584.297623993678,19538.174003457458,0.06854,2241.207138390508,328.04718191600114,INFEASIBLE,
workflow2,Q3,greedy,0.06104,8.667616422891081,4023.345477664135,11582.373787469174,19535.290422331404,0.06852,2240.30452749928,89.35360754100839,optimal,
workflow2,Q3,murakkab_profile,0.07044,15.73585891697528,4373.7702347052855,12013.172594938484,19859.32803604351,0.0753,2389.156140684393,12.90910766700108,optimal,
workflow2,Q3,single_cloud,0.06228,14.48525198185137,4368.42576409412,11718.797195720868,19175.6289720922,0.0694,2106.2002816721774,21.760299165995093,optimal,
workflow1,Q1,decomposition,inf,1.801445721249196,4623.320734651276,9024.669359632491,11508.600873272258,0.03196,741.0418368505581,48.81025845899421,INFEASIBLE,
workflow1,Q1,greedy,0.05996,1.8014148806196806,4897.577195567062,9801.735255076625,12972.440037043556,0.06354,1648.2311730280887,29.230512291993364,optimal,
workflow1,Q1,murakkab_profile,0.0327,2.05755096977605,4913.595059285024,9538.441942857082,11993.478235275888,0.04422,959.2816000101608,59.39401683300093,optimal,
workflow1,Q1,single_cloud,0.03062,2.391486378414006,4893.405769887624,9508.6008393529,11981.426288456218,0.04262,942.9985190835964,9.384881332996883,optimal,
workflow1,Q2,decomposition,inf,6.97984589383861,9469.155613166136,23434.71783546181,36218.24297205128,0.0408,4763.328268075537,60.45052529098757,INFEASIBLE,
workflow1,Q2,greedy,0.06,6.979769689929581,10599.24323736614,26848.9724950125,42094.69367490282,0.06614,8591.948252714245,29.120266415993683,optimal,
workflow1,Q2,murakkab_profile,0.02926,7.223843921448322,9659.776646018314,23723.34250563945,36570.22827847629,0.04244,4924.109205953585,58.14292850000493,optimal,
workflow1,Q2,single_cloud,0.02912,7.5279973349566385,9632.67156400811,23639.77305458716,36468.90739356157,0.04198,4897.633180949254,9.345527875004336,optimal,
workflow1,Q3,decomposition,inf,20.295869122608355,14777.583273867096,39294.57128313082,63884.35528774093,0.0544,11701.933574460696,116.20690012599516,INFEASIBLE,
workflow1,Q3,greedy,0.06,20.295721633246075,15643.207090277812,41877.34559390107,68361.64367103131,0.0669,14764.604790372336,32.829763667003135,optimal,
workflow1,Q3,murakkab_profile,0.04178,20.517360902742244,14880.648056012433,39475.51186236666,64095.89133990939,0.05504,11809.192557030136,59.28097720800724,optimal,
workflow1,Q3,single_cloud,0.04136,20.770050700476464,14848.008926145709,39394.318624675776,64018.88347481812,0.05472,11775.356166448815,9.531042250004248,optimal,
workflow2,Q1,decomposition,inf,3.400063618944144,4617.901110716445,9086.088988163498,11506.378380004682,0.03332,691.8909069741892,602.0930487919977,INFEASIBLE,
workflow2,Q1,greedy,0.05994,3.400031381583923,4892.316120310341,9851.112569112973,12967.258840354214,0.06478,1604.5940531194174,88.46806554200884,optimal,
workflow2,Q1,murakkab_profile,0.0321,3.6674070611840928,4905.662447150533,9612.137294879838,12022.36367174976,0.04592,916.855776132914,325.1755282079976,optimal,
workflow2,Q1,single_cloud,0.031,8.777811285739618,4886.77927451112,9600.09503454301,11986.81356261776,0.04434,899.0184187923863,21.482233249989804,optimal,
workflow2,Q2,decomposition,inf,8.431467589484106,9424.203857951694,22696.34346215045,36417.67175845399,0.0398,4860.473609634706,381.8869677080074,INFEASIBLE,
workflow2,Q2,greedy,0.06,8.431387404525807,10545.648120727235,26008.70310237271,42419.686392370655,0.06544,8730.817100018709,88.51292116599507,optimal,
workflow2,Q2,murakkab_profile,0.0293,8.704230801994782,9614.293590482755,23005.290437773296,36824.79883280363,0.0415,5016.085442076818,318.904069583994,optimal,
workflow2,Q2,single_cloud,0.02898,14.11601444448088,9586.97434670942,22966.292558944497,36699.49310985046,0.04118,4997.264270116351,21.231702791003045,optimal,
workflow2,Q3,decomposition,inf,20.9580475613438,15814.059675801098,41957.70498656015,68961.44595968815,0.06874,14918.05573731948,434.0330803750112,INFEASIBLE,
workflow2,Q3,greedy,0.06,20.958047544133407,15808.976159257249,41950.26119646656,68954.09124912364,0.06872,14912.13636307783,89.43843833300343,optimal,
workflow2,Q3,murakkab_profile,0.04112,21.240625004400258,15039.873117521553,39523.77520967692,64609.22305962903,0.05676,11908.128925270295,326.3922264579887,optimal,
workflow2,Q3,single_cloud,0.04098,27.14591547924911,15007.284370827803,39461.038286906834,64558.072044547815,0.05638,11866.5966763449,21.641533083005925,optimal,
workflow1,Q1,decomposition,inf,1.801445721249196,4623.320734651276,9024.669359632491,11508.600873272258,0.03196,741.0418368505581,109.3224415010045,INFEASIBLE,
workflow1,Q1,decomposition,inf,1.801445721249196,4623.320734651276,9024.669359632491,11508.600873272258,0.03196,741.0418368505581,112.40695120800228,INFEASIBLE,
workflow1,Q2,decomposition,inf,6.97984589383861,9469.155613166136,23434.71783546181,36218.24297205128,0.0408,4763.328268075537,67.92615470899909,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295721633246075,15648.722419127247,41887.185770314936,68370.25044998074,0.06694,14770.760682559256,60.51026020800055,INFEASIBLE,
workflow1,Q1,decomposition,inf,1.801445721249196,4623.320734651276,9024.669359632491,11508.600873272258,0.03196,741.0418368505581,113.71175791598216,INFEASIBLE,
workflow1,Q2,decomposition,inf,6.97984589383861,9469.155613166136,23434.71783546181,36218.24297205128,0.0408,4763.328268075537,60.65645200001018,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295721633246075,15648.722419127247,41887.185770314936,68370.25044998074,0.06694,14770.760682559256,52.96464120798919,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400031398786773,4892.082611198371,9850.872735041838,12967.021080171504,0.06478,1604.3605781101787,364.4125639169943,INFEASIBLE,
workflow2,Q2,decomposition,inf,8.431467013088023,9424.157908474814,22696.25616290839,36417.6602575298,0.0398,4860.435731831514,798.1418210839911,INFEASIBLE,
workflow2,Q3,decomposition,inf,20.95820454237724,14935.820855098937,39353.93770490545,64431.01740397804,0.05596,11795.09909838822,547.4747606249875,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295869122608355,14777.583273867096,39294.57128313082,63884.35528774093,0.0544,11701.933574460696,115.11550391599305,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400063618944144,4617.901110716445,9086.088988163498,11506.378380004682,0.03332,691.8909069741892,488.37219012499554,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.4000641949257737,4617.901110716445,9086.088988163498,11506.378380004682,0.03332,691.8909069741892,494.3499970829871,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.4000636038216903,4617.956218425765,9086.152152579296,11506.43240454906,0.03332,691.9278066331835,484.4965274580027,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295869122608355,14777.583273867096,39294.57128313082,63884.35528774093,0.0544,11701.933574460696,115.0267770000064,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400063618944144,4617.901110716445,9086.088988163498,11506.378380004682,0.03332,691.8909069741892,484.6711458339996,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295721633246075,15648.722419127247,41887.185770314936,68370.25044998074,0.06694,14770.760682559256,52.544719207973685,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400031398786773,4892.082611198371,9850.872735041838,12967.021080171504,0.06478,1604.3605781101787,365.14354770901264,INFEASIBLE,
workflow1,Q1,decomposition,inf,1.801445721249195,4623.320734651276,9024.669359632491,11508.600873272251,0.03196,741.0418368505572,107.72732679199544,INFEASIBLE,
workflow1,Q2,decomposition,inf,6.97984589383861,9469.155613166136,23434.717835461808,36218.24297205128,0.0408,4763.328268075544,90.23677229101304,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295721633246075,15648.722419127243,41887.18577031493,68370.25044998073,0.06694,14770.76068255918,81.07972845900804,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400031383664321,4892.137718907689,9850.910598789009,12967.06459923113,0.06478,1604.4157621317026,414.1955490830296,INFEASIBLE,
workflow2,Q2,decomposition,inf,8.431387404525806,10545.647315233184,26008.70232621288,42419.68559717755,0.06544,8730.816294406315,546.6422156260232,INFEASIBLE,
workflow2,Q3,decomposition,inf,20.958205103774603,14935.820855098931,39353.93770490545,64431.01740397804,0.05596,11795.099098388231,920.7979770830134,INFEASIBLE,
workflow2,Q2,decomposition,inf,8.431467013088023,9424.157908474814,22696.25616290839,36417.6602575298,0.0398,4860.435731831514,726.5076435829978,INFEASIBLE,
workflow1,Q1,decomposition,inf,1.801414880619681,4897.577195567061,9801.73525507662,12972.440037043556,0.06354,1648.2311730280903,53.90867570901173,INFEASIBLE,
workflow1,Q2,decomposition,inf,6.979769689929579,10599.243237366138,26848.97249501249,42094.69367490282,0.06614,8591.948252714254,58.367037833988434,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295721633246075,15648.722419127243,41887.18577031493,68370.25044998073,0.06694,14770.76068255918,51.8667797500093,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400063618944144,4604.67106495059,9063.291998936547,11483.77995555148,0.03286,682.7513844049736,177.21249000000535,INFEASIBLE,
