probe_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,operation,elapsed_sec,status,verified_size_bytes,object_uri,error_type,error_message
r004-gcp_asia_east1-metadata,4,6,2026-06-24T14:32:10.743+00:00,2026-06-24T14:32:14.787+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,object_metadata,4.021915299992543,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_001mib.bin,,
r004-aws_us_west_2-metadata,4,7,2026-06-24T14:32:15.290+00:00,2026-06-24T14:32:22.765+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,object_metadata,7.454481099965051,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin,,
r004-gcp_us_west1-metadata,4,8,2026-06-24T14:32:24.093+00:00,2026-06-24T14:32:27.353+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,object_metadata,3.234177100006491,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin,,
r004-aliyun_ap_southeast_1-metadata,4,9,2026-06-24T14:32:27.869+00:00,2026-06-24T14:32:29.219+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,object_metadata,1.3194215000257827,success,1048576,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r004-aws_us_east_2-metadata,4,10,2026-06-24T14:32:29.730+00:00,2026-06-24T14:32:32.369+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,object_metadata,2.617666200036183,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,
r004-gcp_us_east1-metadata,4,11,2026-06-24T14:32:32.877+00:00,2026-06-24T14:32:36.178+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,object_metadata,3.2770446999929845,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin,,
r004-aws_eu_central_1-metadata,4,12,2026-06-24T14:32:36.689+00:00,2026-06-24T14:32:44.632+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,object_metadata,7.92261279997183,success,1048576,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin,,
r005-aws_ap_southeast_1-metadata,5,1,2026-06-24T14:55:45.942+00:00,2026-06-24T14:55:53.940+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,object_metadata,7.97530769999139,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r005-gcp_europe_west1-metadata,5,2,2026-06-24T14:55:54.440+00:00,2026-06-24T14:56:05.260+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,object_metadata,10.798646099981852,success,1048576,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin,,
r005-aliyun_ap_southeast_1-metadata,5,3,2026-06-24T14:56:05.771+00:00,2026-06-24T14:56:07.099+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,object_metadata,1.2916998000000603,success,1048576,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r005-aws_us_east_2-metadata,5,4,2026-06-24T14:56:07.599+00:00,2026-06-24T14:56:10.202+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,object_metadata,2.5802824000129476,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,
r005-aliyun_us_east_1-metadata,5,5,2026-06-24T14:56:10.711+00:00,2026-06-24T14:56:12.202+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,object_metadata,1.4622795999748632,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin,,
r005-gcp_us_west1-metadata,5,6,2026-06-24T14:56:12.709+00:00,2026-06-24T14:56:20.205+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,object_metadata,7.473990700033028,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin,,
r005-aliyun_cn_beijing-metadata,5,7,2026-06-24T14:56:20.706+00:00,2026-06-24T14:56:21.143+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,object_metadata,0.4064236999838613,success,1048576,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin,,
r005-aws_eu_central_1-metadata,5,8,2026-06-24T14:56:21.658+00:00,2026-06-24T14:56:29.370+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,object_metadata,7.6902954000397585,success,1048576,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin,,
r005-aliyun_cn_shanghai-metadata,5,9,2026-06-24T14:56:29.885+00:00,2026-06-24T14:56:30.233+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,object_metadata,0.31611930002691224,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin,,
r005-gcp_us_east1-metadata,5,10,2026-06-24T14:56:30.747+00:00,2026-06-24T14:56:33.829+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,object_metadata,3.060648199985735,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin,,
r005-gcp_asia_east1-metadata,5,11,2026-06-24T14:56:34.345+00:00,2026-06-24T14:56:38.216+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,object_metadata,3.849406099994667,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_001mib.bin,,
r005-aws_us_west_2-metadata,5,12,2026-06-24T14:56:38.727+00:00,2026-06-24T14:56:46.081+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,object_metadata,7.332946499984246,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin,,
