workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow1,Q1,workflow1_Q1_q1154,1.0,greedy,2183.015599349237,28956.85474063264,2183.015599349237,2183.015599349237,2797.5338760394156,3361.8837702265687
workflow1,Q1,workflow1_Q1_q1155,1.0,greedy,1116.6022856448114,14711.484305387105,1116.6022856448114,1116.6022856448114,1415.7264764501952,1674.7054616775854
workflow1,Q1,workflow1_Q1_q1156,1.0,greedy,1432.2448322228297,25182.240752318332,1432.2448322228297,1432.2448322228297,1988.5609578160716,2450.586964871685
workflow1,Q1,workflow1_Q1_q1157,1.0,greedy,1989.5201887942794,26586.83073867018,1989.5201887942794,1989.5201887942794,2550.0028003183256,3050.2527785122197
workflow1,Q1,workflow1_Q1_q1158,1.0,greedy,1641.43367761606,28581.792450319237,1641.43367761606,1641.43367761606,2275.874033247194,2825.1437017769504
workflow1,Q1,workflow1_Q1_q1159,1.0,greedy,1761.8866724378584,29632.38518025491,1761.8866724378584,1761.8866724378584,2418.2243290144515,2967.513833067191
workflow1,Q1,workflow1_Q1_q1160,1.0,greedy,2169.0640528232434,24379.471282887756,2169.0640528232434,2169.0640528232434,2660.9464884648337,3135.19034230158
workflow1,Q1,workflow1_Q1_q1161,1.0,greedy,363.7450598854176,5714.577547653843,363.7450598854176,363.7450598854176,464.38323588040066,570.2572657301745
workflow1,Q1,workflow1_Q1_q1162,1.0,greedy,964.7155780493953,14763.597592488435,964.7155780493953,964.7155780493953,1269.8734592541925,1543.9572593783762
workflow1,Q1,workflow1_Q1_q1163,1.0,greedy,1234.5216586557144,13318.147634761008,1234.5216586557144,1234.5216586557144,1487.136495404802,1750.7271653951946
workflow1,Q1,workflow1_Q1_q1164,1.0,greedy,1580.1943106174153,22595.60838948898,1580.1943106174153,1580.1943106174153,2057.1385315969696,2476.361753757871
workflow1,Q1,workflow1_Q1_q1165,1.0,greedy,1014.2338038402572,12193.336910647686,1014.2338038402572,1014.2338038402572,1251.5953622846419,1475.4353582155645
workflow1,Q1,workflow1_Q1_q1166,1.0,greedy,964.4883395098109,11478.991399621282,964.4883395098109,964.4883395098109,1185.7723981972388,1384.3434907537257
workflow1,Q1,workflow1_Q1_q1167,1.0,greedy,1130.920472994223,19953.35877871219,1130.920472994223,1130.920472994223,1564.390285031554,1935.99774600463
workflow1,Q1,workflow1_Q1_q1168,1.0,greedy,975.1936008858139,13551.720891712095,975.1936008858139,975.1936008858139,1246.4286927143046,1513.9528652337679
workflow1,Q1,workflow1_Q1_q1169,1.0,greedy,493.272412474222,8113.301703914331,493.272412474222,493.272412474222,651.7140420719899,793.585990633548
workflow1,Q1,workflow1_Q1_q1170,1.0,greedy,288.73644841831174,4153.505935010643,288.73644841831174,288.73644841831174,354.90545767869367,419.24266172615506
workflow1,Q1,workflow1_Q1_q1171,1.0,greedy,2959.370398523189,30856.788228555863,2959.370398523189,2959.370398523189,3578.399583897147,4173.1720261082155
