workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0075,1.0,max,greedy,1742.8545516172119,1548.830944629971,1742.8545516172119,1742.854551617212,1742.8545516172119,1600.6309715318157,1742.8545516172119,1742.8545516172119,1548.830944629971
workflow1,Q1,workflow1_Q1_q0076,1.0,max,greedy,11434.744556209034,10210.998477803307,11434.744556209034,11434.744556209034,11434.744556209034,10722.133084386374,11434.744556209034,11434.744556209034,10210.998477803307
workflow1,Q1,workflow1_Q1_q0077,1.0,max,greedy,13349.535995643295,11781.856876252094,13349.535995643295,13349.535995643297,13349.535995643295,12203.55623229559,13349.535995643295,13349.535995643295,11781.856876252094
workflow1,Q1,workflow1_Q1_q0078,1.0,max,greedy,13212.554198288546,11834.792016568566,13212.554198288546,13212.554198288546,13212.554198288546,12125.221664596767,13212.554198288546,13212.554198288546,11834.792016568566
workflow1,Q1,workflow1_Q1_q0079,1.0,max,greedy,10964.944856179953,9798.921328293787,10964.944856179953,10964.944856179953,10964.944856179953,10236.304136268327,10964.944856179953,10964.944856179953,9798.921328293787
workflow1,Q1,workflow1_Q1_q0080,1.0,max,greedy,9885.090472864995,8916.590914904145,9885.090472864995,9885.090472864997,9885.090472864995,9422.924287821577,9885.090472864995,9885.090472864995,8916.590914904145
workflow1,Q1,workflow1_Q1_q0081,1.0,max,greedy,8096.318961269213,7299.133497359044,8096.318961269213,8096.318961269213,8096.318961269213,7791.471699669873,8096.318961269213,8096.318961269213,7299.133497359044
workflow1,Q1,workflow1_Q1_q0082,1.0,max,greedy,9755.840937148158,8823.69745597545,9755.840937148158,9755.840937148158,9755.840937148158,9213.081524152567,9755.840937148158,9755.840937148158,8823.69745597545
workflow1,Q1,workflow1_Q1_q0083,1.0,max,greedy,1795.8664921222712,1639.8362123430272,1795.8664921222712,1795.8664921222712,1795.8664921222712,1700.580062145963,1795.8664921222712,1795.8664921222712,1639.8362123430272
workflow1,Q1,workflow1_Q1_q0084,1.0,max,greedy,6855.186429610495,6184.282686561484,6855.186429610495,6855.186429610495,6855.186429610495,6490.175026623682,6855.186429610495,6855.186429610495,6184.282686561484
workflow1,Q1,workflow1_Q1_q0085,1.0,max,greedy,8692.417904030177,7604.865013345607,8692.417904030177,8692.417904030177,8692.417904030177,7846.068921036152,8692.417904030177,8692.417904030177,7604.865013345607
workflow1,Q1,workflow1_Q1_q0086,1.0,max,greedy,11162.01148824393,10055.089842239711,11162.01148824393,11162.01148824393,11162.01148824393,10635.336382241045,11162.01148824393,11162.01148824393,10055.089842239711
workflow1,Q1,workflow1_Q1_q0087,1.0,max,greedy,5470.552803967602,4986.405282567895,5470.552803967602,5470.552803967602,5470.552803967602,5306.06143216716,5470.552803967602,5470.552803967602,4986.405282567895
workflow1,Q1,workflow1_Q1_q0088,1.0,max,greedy,5131.6616542741785,4610.809354693783,5131.6616542741785,5131.6616542741785,5131.6616542741785,4842.3314409021805,5131.6616542741785,5131.6616542741785,4610.809354693783
workflow1,Q1,workflow1_Q1_q0089,1.0,max,greedy,8968.974559226988,7981.304888542821,8968.974559226988,8968.974559226988,8968.974559226988,8351.86304762454,8968.974559226988,8968.974559226988,7981.304888542821
workflow1,Q1,workflow1_Q1_q0090,1.0,max,greedy,3257.9601477284123,2976.323497876241,3257.9601477284123,3257.9601477284123,3257.9601477284123,3134.721997691385,3257.9601477284123,3257.9601477284123,2976.323497876241
workflow1,Q1,workflow1_Q1_q0091,1.0,max,greedy,2208.474677760741,1975.4536646163067,2208.474677760741,2208.474677760741,2208.474677760741,2075.0808291240933,2208.474677760741,2208.474677760741,1975.4536646163067
workflow1,Q1,workflow1_Q1_q0092,1.0,max,greedy,7573.925563083225,6662.475712968966,7573.925563083225,7573.925563083225,7573.925563083225,6972.21618648765,7573.925563083225,7573.925563083225,6662.475712968966
workflow1,Q1,workflow1_Q1_q0093,1.0,max,greedy,5613.312463683829,5013.1003760790445,5613.312463683829,5613.312463683829,5613.312463683829,5416.854822578801,5613.312463683829,5613.312463683829,5013.1003760790445
workflow1,Q1,workflow1_Q1_q0094,1.0,max,greedy,3646.415535856471,3237.0742421545797,3646.415535856471,3646.415535856471,3646.415535856471,3326.308418235281,3646.415535856471,3646.415535856471,3237.0742421545797
workflow1,Q1,workflow1_Q1_q0095,1.0,max,greedy,5247.744905063519,4686.092372897345,5247.744905063519,5247.744905063519,5247.744905063519,4841.249992918788,5247.744905063519,5247.744905063519,4686.092372897345
workflow1,Q1,workflow1_Q1_q0096,1.0,max,greedy,4604.816301538455,4171.632014087571,4604.816301538455,4604.816301538455,4604.816301538455,4454.063150915496,4604.816301538455,4604.816301538455,4171.632014087571
workflow1,Q1,workflow1_Q1_q0097,1.0,max,greedy,4470.118518160923,4009.2820314263504,4470.118518160923,4470.118518160923,4470.118518160923,4239.473780695944,4470.118518160923,4470.118518160923,4009.2820314263504
workflow1,Q1,workflow1_Q1_q0098,1.0,max,greedy,4960.0671035681735,4448.923064904279,4960.0671035681735,4960.0671035681735,4960.0671035681735,4694.6488061463615,4960.0671035681735,4960.0671035681735,4448.923064904279
workflow1,Q1,workflow1_Q1_q0099,1.0,max,greedy,7924.285628127542,7244.386570834647,7924.285628127542,7924.285628127542,7924.285628127542,7675.118085161464,7924.285628127542,7924.285628127542,7244.386570834647
workflow1,Q1,workflow1_Q1_q0100,1.0,max,greedy,3970.5578128614184,3577.4809424859604,3970.5578128614184,3970.5578128614184,3970.5578128614184,3717.707892147432,3970.5578128614184,3970.5578128614184,3577.4809424859604
workflow1,Q1,workflow1_Q1_q0101,1.0,max,greedy,10776.052960664874,9864.362900220396,10776.052960664874,10776.052960664874,10776.052960664874,10315.32591098212,10776.052960664874,10776.052960664874,9864.362900220396
