workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p90_max,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0068,1.0,single_cloud,2572.958350393215,24838.964568090443,2572.958350393215,785.5343681283558,1371.2838377836918,2572.958350393215
workflow1,Q1,workflow1_Q1_q0069,1.0,single_cloud,669.4211047561663,7138.939513425723,669.4211047561663,236.20626476819098,385.5574134700764,669.4211047561663
workflow1,Q1,workflow1_Q1_q0070,1.0,single_cloud,1876.247623721934,18215.700498677343,1876.247623721934,592.983759539697,1009.2760202109688,1876.247623721934
workflow1,Q1,workflow1_Q1_q0071,1.0,single_cloud,391.53311169795177,4691.854130215958,391.53311169795177,128.81370160166875,217.16531642407577,391.53311169795177
workflow1,Q1,workflow1_Q1_q0072,1.0,single_cloud,2239.8364649004207,20882.157922703405,2239.8364649004207,760.3142499115602,1239.6453992692284,2239.8364649004207
workflow1,Q1,workflow1_Q1_q0073,1.0,single_cloud,3043.184335696015,29768.07689901426,3043.184335696015,851.7681308861987,1558.8741965516015,3043.184335696015
workflow1,Q1,workflow1_Q1_q0074,1.0,single_cloud,1680.901332036279,16763.09351326587,1680.901332036279,500.3220878982113,885.0733284893681,1680.901332036279
workflow1,Q1,workflow1_Q1_q0075,1.0,single_cloud,1421.1124996412168,14419.597785440736,1421.1124996412168,411.9918007739024,746.3251102769113,1421.1124996412168
workflow1,Q1,workflow1_Q1_q0076,1.0,single_cloud,192.55284849392723,2751.131722168471,192.55284849392723,80.59855899355775,121.00606446396706,192.55284849392723
workflow1,Q1,workflow1_Q1_q0077,1.0,single_cloud,3141.870320458154,29898.095015077153,3141.870320458154,952.7006878866167,1664.1605469129233,3141.870320458154
workflow1,Q1,workflow1_Q1_q0078,1.0,single_cloud,410.04941747389853,4724.424865112325,410.04941747389853,142.202098017191,232.44990385569116,410.04941747389853
workflow1,Q1,workflow1_Q1_q0079,1.0,single_cloud,203.23985471077887,2904.9859194830124,203.23985471077887,85.98322808898585,131.0297740847256,203.23985471077887
workflow1,Q1,workflow1_Q1_q0080,1.0,single_cloud,878.2233827375728,8927.929179238101,878.2233827375728,298.371622710921,490.16928718138456,878.2233827375728
workflow1,Q1,workflow1_Q1_q0081,1.0,single_cloud,285.27687897189605,3623.415209389912,285.27687897189605,109.52209836556601,172.1060428327147,285.27687897189605
workflow1,Q1,workflow1_Q1_q0082,1.0,single_cloud,1555.9632417688424,15070.272445742405,1555.9632417688424,528.8212102833513,865.9642328361406,1555.9632417688424
workflow1,Q1,workflow1_Q1_q0083,1.0,single_cloud,1675.9608892861463,16861.691776536478,1675.9608892861463,489.6983528335671,878.876896394689,1675.9608892861463
workflow1,Q1,workflow1_Q1_q0084,1.0,single_cloud,1062.5555715758221,10881.930242357852,1062.5555715758221,333.65717362963056,569.506178774568,1062.5555715758221
workflow1,Q1,workflow1_Q1_q0085,1.0,single_cloud,244.18888498072636,3195.320899015302,244.18888498072636,101.50021247560315,152.4679733188731,244.18888498072636
workflow1,Q1,workflow1_Q1_q0086,1.0,single_cloud,434.2758333174246,4977.042019898779,434.2758333174246,150.95642273423925,246.84651005198185,434.2758333174246
workflow1,Q1,workflow1_Q1_q0087,1.0,single_cloud,1378.7100768079708,12995.507634100068,1378.7100768079708,511.3439587927457,795.6975968535191,1378.7100768079708
workflow1,Q1,workflow1_Q1_q0088,1.0,single_cloud,267.52673359793044,3476.446942185285,267.52673359793044,103.53818871358432,162.20418264772064,267.52673359793044
workflow1,Q1,workflow1_Q1_q0089,1.0,single_cloud,2339.8403386416353,22212.21051787048,2339.8403386416353,773.2211643232358,1294.320830805125,2339.8403386416353
workflow1,Q1,workflow1_Q1_q0090,1.0,single_cloud,731.4580148542734,7780.677551082025,731.4580148542734,232.60400489677306,394.5495813039411,731.4580148542734
workflow1,Q1,workflow1_Q1_q0091,1.0,single_cloud,1055.5718099973278,10573.466834000868,1055.5718099973278,362.39443182292587,592.0876098839201,1055.5718099973278
workflow1,Q1,workflow1_Q1_q0092,1.0,single_cloud,1340.6676509081922,13278.20358504686,1340.6676509081922,439.3591368651252,738.7855762205883,1340.6676509081922
workflow1,Q1,workflow1_Q1_q0093,1.0,single_cloud,1410.710356052573,13938.824238837704,1410.710356052573,446.6065660850498,759.3749814249776,1410.710356052573
workflow1,Q1,workflow1_Q1_q0094,1.0,single_cloud,86.39946709668219,1746.7949129009894,86.39946709668219,51.353533837159965,64.70811951021822,86.39946709668219
workflow1,Q1,workflow1_Q1_q0095,1.0,single_cloud,447.77894161844534,4990.851640683731,447.77894161844534,169.23857318679973,262.5017946102272,447.77894161844534
workflow1,Q1,workflow1_Q1_q0096,1.0,single_cloud,2880.0680739282134,27047.748411834484,2880.0680739282134,940.3073778302755,1572.104900545872,2880.0680739282134
workflow1,Q1,workflow1_Q1_q0097,1.0,single_cloud,83.95989481752649,1734.2298427248847,83.95989481752649,50.76200808966271,65.60137923597472,83.95989481752649
workflow1,Q1,workflow1_Q1_q0098,1.0,single_cloud,1742.0215191956747,16628.973248493894,1742.0215191956747,615.4412414642546,993.0171812618462,1742.0215191956747
