workflow,quality,component,cost_mean,cost_share,latency_mean_on_critical_path,latency_p95_on_critical_path,latency_share
workflow2,Q2,edge:Video Split & Sample->Video Caption,0.017200241331807555,0.002614530477356161,8.533118505299164,16.561073991001376,0.003792309313430874
workflow2,Q2,node:Database,1.2255112391307341,0.18628439120354476,0.0009271556640949743,0.0009949144381293676,4.120487788566447e-07
workflow2,Q2,node:Label Detection,0.14437242922158705,0.021945396521370612,0.0,0.0,0.0
workflow2,Q2,node:OCR,0.49765567831571844,0.07564637687842629,0.0,0.0,0.0
workflow2,Q2,node:Q/A,0.0056188754700050685,0.0008540997118238307,3.095848415343291,3.5029008106978745,0.0013758644944618598
workflow2,Q2,node:Shot Detection,0.9035334089509961,0.1373420052335762,46.57430564571699,76.68920678438454,0.020698666373511986
workflow2,Q2,node:Speech Transcription,0.18671388951591836,0.02838152937902868,0.0,0.0,0.0
workflow2,Q2,node:Video Caption,3.542970693189468,0.5385508655970752,2082.3232646144866,6274.7693868325305,0.9254311779529709
workflow2,Q2,node:Video Split & Sample,0.037876219898638194,0.00575739196803622,13.80268872800415,24.392834818670963,0.006134224548867007
workflow2,Q3,edge:ClientSource->Shot Detection,0.0,0.0,224.18110657423648,423.3963375826305,0.05618375402034128
workflow2,Q3,edge:ClientSource->Speech Transcription,0.0,0.0,0.0,0.0,0.0
workflow2,Q3,edge:Database->Q/A,6.75122814372499e-07,4.3134617358485144e-08,0.06404538359538177,0.06421730943176715,1.6050906934344028e-05
workflow2,Q3,edge:Label Detection->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q3,edge:OCR->Database,5.077930321717282e-05,3.2443664580333976e-06,0.0,0.0,0.0
workflow2,Q3,edge:Q/A->ClientSink,2.576850855409353e-08,1.6463889720758237e-09,0.0652528568314805,0.0652604367830444,1.635352110339601e-05
workflow2,Q3,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.051073541497299e-06,1.7094388493461203e-05,2.268359262055424e-09
workflow2,Q3,edge:Speech Transcription->Database,0.0,0.0,0.0,0.0,0.0
workflow2,Q3,edge:Video Caption->Database,6.361626654896348e-05,4.064539454077612e-06,0.13896242291049898,0.2871085487522347,3.4826443254658125e-05
workflow2,Q3,edge:Video Split & Sample->Label Detection,0.0,0.0,0.0,0.0,0.0
workflow2,Q3,edge:Video Split & Sample->OCR,0.03473966276014938,0.0022195695781879947,0.0,0.0,0.0
workflow2,Q3,edge:Video Split & Sample->Video Caption,0.03473966276014938,0.0022195695781879947,25.640259074603566,49.23236755280028,0.006425902837571701
workflow2,Q3,node:Database,1.2255306394060164,0.07830100548596053,0.0007416262989085406,0.0007960895231979285,1.8586467963166913e-07
