workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow2,Q3,Greedy,Video Caption,Database,Azure,westus2,Aliyun,cn-shanghai,0.087,1.5047702692237384,0.00012784669279537566
workflow2,Q3,Greedy,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,westus2,0.118,301.33820134993897,0.03472451929618406
workflow2,Q3,Greedy,OCR,Database,Azure,westus2,Aliyun,cn-shanghai,0.087,0.5970912963771735,5.0729436313295445e-05
workflow2,Q3,Greedy,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,301.33820134993897,0.0
workflow2,Q3,Greedy,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,2.5175815811697704,0.0
workflow2,Q3,Greedy,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,Greedy,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,17.991528187750653,0.0
workflow2,Q3,Greedy,Database,Q/A,Aliyun,cn-shanghai,Azure,eastus,0.118,3.376262130174684,0.00038906145640684635
workflow2,Q3,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.8421275898174716,7.15479495255074e-05
workflow2,Q3,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9051.073541498048,0.0
workflow2,Q3,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,9051.073541498048,7.0711512042945115
workflow2,Q3,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,301.33820134993897,0.029427558725579984
workflow2,Q3,Murakkab-style,Video Caption,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,1.5047702692237384,0.0001763402659246563
workflow2,Q3,Murakkab-style,Video Split & Sample,OCR,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,301.33820134993897,0.029427558725579984
workflow2,Q3,Murakkab-style,OCR,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,0.5970912963771735,6.997163629420068e-05
workflow2,Q3,Murakkab-style,Video Split & Sample,Label Detection,Aliyun,ap-southeast-1,Aliyun,ap-southeast-1,0.0,301.33820134993897,0.0
workflow2,Q3,Murakkab-style,Label Detection,Database,Aliyun,ap-southeast-1,Aliyun,cn-beijing,0.8,2.5175815811697704,0.0019668606102888815
workflow2,Q3,Murakkab-style,ClientSource,Speech Transcription,client,local,Aliyun,cn-beijing,0.0,9051.073541498048,0.0
workflow2,Q3,Murakkab-style,Speech Transcription,Database,Aliyun,cn-beijing,Aliyun,cn-beijing,0.0,17.991528187750653,0.0
workflow2,Q3,Murakkab-style,Database,Q/A,Aliyun,cn-beijing,Anthropic,global,0.12,3.376262130174684,0.00039565571837984684
workflow2,Q3,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.8421275898174716,9.86868269317352e-05
workflow2,Q3,Single-Cloud,ClientSource,Shot Detection,client,local,AWS,us-east-2,0.0,9051.073541498048,0.0
workflow2,Q3,Single-Cloud,Shot Detection,Video Split & Sample,AWS,us-east-2,AWS,us-east-2,0.0,9051.073541498048,0.0
workflow2,Q3,Single-Cloud,Video Split & Sample,Video Caption,AWS,us-east-2,AWS,us-east-2,0.0,301.33820134993897,0.0
workflow2,Q3,Single-Cloud,Video Caption,Database,AWS,us-east-2,AWS,us-east-2,0.0,1.5047702692237384,0.0
workflow2,Q3,Single-Cloud,Video Split & Sample,OCR,AWS,us-east-2,AWS,us-east-2,0.0,301.33820134993897,0.0
workflow2,Q3,Single-Cloud,OCR,Database,AWS,us-east-2,AWS,us-east-2,0.0,0.5970912963771735,0.0
workflow2,Q3,Single-Cloud,Video Split & Sample,Label Detection,AWS,us-east-2,AWS,us-east-2,0.0,301.33820134993897,0.0
workflow2,Q3,Single-Cloud,Label Detection,Database,AWS,us-east-2,AWS,us-east-2,0.0,2.5175815811697704,0.0
workflow2,Q3,Single-Cloud,ClientSource,Speech Transcription,client,local,AWS,us-east-2,0.0,9051.073541498048,0.0
