workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow2,Q2,workflow2_Q2_q1817,1.0,murakkab_profile,4602.986924548905,6959.503313290745,4602.986924548905,5027.479258404218,4602.986924548905,4698.154497831551
workflow2,Q2,workflow2_Q2_q1818,1.0,single_cloud,5704.38249697334,7893.018861329525,5704.38249697334,6140.042248794554,5968.546971324783,5704.38249697334
workflow2,Q2,workflow2_Q2_q1819,1.0,murakkab_profile,6426.172062701997,8239.326439347915,6426.172062701997,7043.431884960989,6426.172062701997,6480.759631440807
workflow2,Q2,workflow2_Q2_q1820,1.0,murakkab_profile,15844.399058619307,17817.03444459143,15844.399058619307,17798.57249714955,15844.399058619307,16242.40275337187
workflow2,Q2,workflow2_Q2_q1821,1.0,single_cloud,3661.46956441541,5864.096255447244,3661.46956441541,3893.276078778374,3797.87777517376,3661.46956441541
workflow2,Q2,workflow2_Q2_q1822,1.0,murakkab_profile,3932.4459084128803,6176.478354139596,3932.4459084128803,4225.498913420463,3932.4459084128803,3956.5683371265027
workflow2,Q2,workflow2_Q2_q1823,1.0,single_cloud,18765.93996508876,18808.22307737657,18765.93996508876,20700.486994832198,19940.6458431727,18765.93996508876
workflow2,Q2,workflow2_Q2_q1824,1.0,single_cloud,9130.129804516338,11689.716522678384,9130.129804516338,9881.162180246534,9643.960419749135,9130.129804516338
workflow2,Q2,workflow2_Q2_q1825,1.0,single_cloud,16140.187591728038,21428.50071870549,16140.187591728038,17336.657299597282,16907.94875271651,16140.187591728038
workflow2,Q2,workflow2_Q2_q1826,1.0,murakkab_profile,1718.0799979858775,3284.139875589154,1718.0799979858775,1824.2544811202345,1718.0799979858775,1718.8366541707792
workflow2,Q2,workflow2_Q2_q1827,1.0,murakkab_profile,16625.263454442982,20630.99893432979,16625.263454442982,18247.825318644223,16625.263454442982,16843.566268312075
workflow2,Q2,workflow2_Q2_q1828,1.0,single_cloud,2632.106971347626,4861.508744692103,2632.106971347626,2769.694996248412,2696.7686318495635,2632.106971347626
workflow2,Q2,workflow2_Q2_q1829,1.0,single_cloud,11306.380434309263,15783.102730644589,11306.380434309263,12087.113298577811,11963.520817916775,11306.380434309263
workflow2,Q2,workflow2_Q2_q1830,1.0,single_cloud,12226.564696448686,16262.35505384875,12226.564696448686,13131.583598050389,12265.814518292069,12226.564696448686
workflow2,Q2,workflow2_Q2_q1831,1.0,single_cloud,5276.008477427584,6201.54280846941,5276.008477427584,5805.498851990745,5288.446577457439,5276.008477427584
workflow2,Q2,workflow2_Q2_q1832,1.0,single_cloud,19652.41403562468,22043.996452762003,19652.41403562468,21458.399895627517,19864.716890544754,19652.41403562468
