workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0066,1.0,min,dpgm,4396.431610803898,4396.431610803898,4733.337801440586,8599.771878309737,4396.431610803898,4695.151719096925,4733.337801440586,4396.431610803898,4702.479430597583
workflow1,Q1,workflow1_Q1_q0067,1.0,min,dpgm,3258.7197374633893,3258.7197374633893,3508.2430433821887,5772.593010406968,3258.7197374633893,3479.7417220405664,3508.2430433821887,3258.7197374633893,3487.8691014697647
workflow1,Q1,workflow1_Q1_q0068,1.0,min,dpgm,561.9829429306424,561.9829429306424,617.3864234114552,835.4541570704472,561.9829429306424,594.3676354595003,617.3864234114552,561.9829429306424,614.7957815632903
workflow1,Q1,workflow1_Q1_q0069,1.0,min,dpgm,2981.287533310609,2981.287533310609,3189.7714288014804,5262.926564764233,2981.287533310609,3142.0370466820077,3189.7714288014804,2981.287533310609,3170.038776344232
workflow1,Q1,workflow1_Q1_q0070,1.0,min,dpgm,4026.674853730826,4026.674853730826,4364.001873672812,7536.716710580895,4026.674853730826,4307.651101648511,4364.001873672812,4026.674853730826,4340.950256942831
workflow1,Q1,workflow1_Q1_q0071,1.0,min,dpgm,944.5898023128813,944.5898023128813,1023.0963142865644,1587.5691352961817,944.5898023128813,999.0647723457417,1023.0963142865644,944.5898023128813,1017.5782981133711
workflow1,Q1,workflow1_Q1_q0072,1.0,min,dpgm,6369.802134017634,6369.802134017634,6852.652011016198,12496.249425062391,6369.802134017634,6765.586753486559,6852.652011016198,6369.802134017634,6813.0621807385405
workflow1,Q1,workflow1_Q1_q0073,1.0,min,dpgm,596.3384309161507,596.3384309161507,640.9490018310186,909.3567588744984,596.3384309161507,608.2711888262647,640.9490018310186,596.3384309161507,638.4273990138366
workflow1,Q1,workflow1_Q1_q0074,1.0,min,dpgm,7091.567301885411,7091.567301885411,7623.188962676535,12022.073536319109,7091.567301885411,7495.475056837718,7623.188962676535,7091.567301885411,7573.268674911226
workflow1,Q1,workflow1_Q1_q0075,1.0,min,dpgm,928.9430896687782,928.9430896687782,997.1890480923236,1742.854551617212,928.9430896687782,973.2399522022051,997.1890480923236,928.9430896687782,992.9069885679418
workflow1,Q1,workflow1_Q1_q0076,1.0,min,dpgm,6396.571596862605,6396.571596862605,6923.0330344466565,11434.744556209034,6396.571596862605,6923.0330344466565,6919.42470693001,6396.571596862605,6875.0125384753965
workflow1,Q1,workflow1_Q1_q0077,1.0,min,dpgm,6875.610078232423,6875.610078232423,7418.481897011734,13349.535995643297,6875.610078232423,7321.777635437931,7418.481897011734,6875.610078232423,7367.2459669858035
workflow1,Q1,workflow1_Q1_q0078,1.0,min,dpgm,7440.032348050823,7440.032348050823,8048.723819061168,13212.554198288546,7440.032348050823,7860.025920363542,8048.723819061168,7440.032348050823,8002.213391872265
workflow1,Q1,workflow1_Q1_q0079,1.0,min,dpgm,6135.519694551565,6135.519694551565,6622.788534335716,10964.944856179953,6135.519694551565,6560.635040373839,6622.788534335716,6135.519694551565,6580.368879461261
workflow1,Q1,workflow1_Q1_q0080,1.0,min,dpgm,5950.961321282456,5950.961321282456,6449.712342887412,9885.090472864997,5950.961321282456,6347.9076666625215,6449.712342887412,5950.961321282456,6413.297694502389
workflow1,Q1,workflow1_Q1_q0081,1.0,min,dpgm,4917.857203527444,4917.857203527444,5332.079961507375,8096.318961269213,4917.857203527444,5300.36285976297,5332.079961507375,4917.857203527444,5301.692716579995
