workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow2,Q2,SkyFlow,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.006336470647082515,5.383524866173605e-07
workflow2,Q2,SkyFlow,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,2.5313537500018106,0.0002916989672853673
workflow2,Q2,SkyFlow,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.005015153470184073,4.260921405332129e-07
workflow2,Q2,SkyFlow,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,2.5313537500018106,0.0
workflow2,Q2,SkyFlow,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.020986411903271624,0.0
workflow2,Q2,SkyFlow,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,SkyFlow,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.3010919007847176,0.0
workflow2,Q2,SkyFlow,Database,Q/A,Aliyun,cn-shanghai,Anthropic,global,0.12,0.05019502193861017,5.882229133430883e-06
workflow2,Q2,SkyFlow,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.007572211731922458,8.873685623346664e-07
workflow2,Q2,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,westus2,0.118,2.5313537500018106,0.0002916989672853673
workflow2,Q2,Greedy,Video Caption,Database,Azure,westus2,Aliyun,cn-shanghai,0.087,0.006336470647082515,5.383524866173605e-07
workflow2,Q2,Greedy,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,2.5313537500018106,0.0002916989672853673
workflow2,Q2,Greedy,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.005015153470184073,4.260921405332129e-07
workflow2,Q2,Greedy,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,2.5313537500018106,0.0
workflow2,Q2,Greedy,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.020986411903271624,0.0
workflow2,Q2,Greedy,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,Greedy,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.3010919007847176,0.0
workflow2,Q2,Greedy,Database,Q/A,Aliyun,cn-shanghai,Azure,eastus,0.118,0.05019502193861017,5.784191981207046e-06
workflow2,Q2,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.007572211731922458,6.433422076926288e-07
workflow2,Q2,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,151.47252439151765,0.0
workflow2,Q2,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,151.47252439151765,0.1183379096808838
workflow2,Q2,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,2.5313537500018106,0.00029664301757833654
workflow2,Q2,Murakkab-style,Video Caption,Database,Anthropic,global,Aliyun,cn-beijing,0.12,0.006336470647082515,7.425551539549759e-07
workflow2,Q2,Murakkab-style,Video Split & Sample,OCR,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,2.5313537500018106,0.0002472025146486165
workflow2,Q2,Murakkab-style,OCR,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,0.005015153470184073,5.877132972871918e-07
workflow2,Q2,Murakkab-style,Video Split & Sample,Label Detection,Aliyun,ap-southeast-1,Aliyun,ap-southeast-1,0.0,2.5313537500018106,0.0
workflow2,Q2,Murakkab-style,Label Detection,Database,Aliyun,ap-southeast-1,Aliyun,cn-beijing,0.8,0.020986411903271624,1.6395634299430906e-05
workflow2,Q2,Murakkab-style,ClientSource,Speech Transcription,client,local,Aliyun,cn-beijing,0.0,151.47252439151765,0.0
workflow2,Q2,Murakkab-style,Speech Transcription,Database,Aliyun,cn-beijing,Aliyun,cn-beijing,0.0,0.3010919007847176,0.0
workflow2,Q2,Murakkab-style,Database,Q/A,Aliyun,cn-beijing,AWS,us-west-2,0.118,0.05019502193861017,5.784191981207046e-06
workflow2,Q2,Murakkab-style,Q/A,ClientSink,AWS,us-west-2,client,local,0.09,0.007572211731922458,6.655264217509973e-07
workflow2,Q3,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
workflow2,Q3,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
workflow2,Q3,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,5.106488547414993,0.0005884430162060227
workflow2,Q3,SkyFlow,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.025500662942872978,2.166560230497998e-06
workflow2,Q3,SkyFlow,Video Split & Sample,OCR,Aliyun,cn-shanghai,AWS,eu-central-1,0.118,5.106488547414993,0.0005884430162060227
workflow2,Q3,SkyFlow,OCR,Database,AWS,eu-central-1,Aliyun,cn-shanghai,0.09,0.010118361645188506,8.893091289716482e-07
workflow2,Q3,SkyFlow,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,5.106488547414993,0.0
workflow2,Q3,SkyFlow,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.04266330580209107,0.0
workflow2,Q3,SkyFlow,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
workflow2,Q3,SkyFlow,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.30488300407935587,0.0
workflow2,Q3,SkyFlow,Database,Q/A,Aliyun,cn-shanghai,Anthropic,global,0.12,0.057217991680314606,6.705233400036802e-06
workflow2,Q3,SkyFlow,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.014271897295849685,1.6724879643573527e-06
workflow2,Q3,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
