workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_logical_optimal,p90_single_cloud
workflow1,Q2,workflow1_Q2_q0042,1.25,single_cloud,39.68722401018328,43.65594641120161,49.6090300127291,41.24961316613489,46.845700625855976,39.68722401018328
workflow1,Q2,workflow1_Q2_q0043,1.25,greedy,63.5968913937551,69.95658053313062,79.49611424219387,63.5968913937551,73.48381420227464,71.08148487605541
workflow1,Q2,workflow1_Q2_q0044,1.25,greedy,56.559142019028364,62.2150562209312,70.69892752378546,56.559142019028364,65.78890017234414,62.90883088202111
workflow1,Q2,workflow1_Q2_q0045,1.25,greedy,60.32821181782448,66.36103299960693,75.4102647722806,60.32821181782448,69.78821835437755,67.19214624129788
workflow1,Q2,workflow1_Q2_q0046,1.25,single_cloud,36.6525904997898,40.31784954976879,45.81573812473725,38.03962422415673,43.46532647165027,36.6525904997898
workflow1,Q2,workflow1_Q2_q0047,1.25,single_cloud,37.90696905417783,41.69766595959562,47.38371131772229,39.56937353190235,45.00670443357471,37.90696905417783
workflow1,Q2,workflow1_Q2_q0048,1.25,greedy,48.502325167575336,53.35255768433287,60.62790645946917,48.502325167575336,54.842651386354866,48.53265700094928
workflow1,Q2,workflow1_Q2_q0049,1.25,greedy,52.165815805490475,57.38239738603953,65.2072697568631,52.165815805490475,58.99444199737376,52.678859896796226
workflow1,Q3,workflow1_Q3_q0000,1.25,greedy,73.96650951050437,81.36316046155481,92.45813688813045,73.96650951050437,95.60161046857738,80.51244330652044
workflow1,Q3,workflow1_Q3_q0001,1.25,greedy,65.46952577031462,72.01647834734608,81.83690721289327,65.46952577031462,95.24174250055816,77.77340560176245
workflow1,Q3,workflow1_Q3_q0002,1.25,greedy,65.63194727264649,72.19514199991114,82.0399340908081,65.63194727264649,87.53589716719532,72.33148308015333
workflow1,Q3,workflow1_Q3_q0003,1.25,single_cloud,38.85181264982097,42.73699391480307,48.564765812276214,39.068883114458515,48.330012810565044,38.85181264982097
workflow1,Q3,workflow1_Q3_q0004,1.25,greedy,62.811522968606106,69.09267526546672,78.51440371075763,62.811522968606106,80.1888388466262,66.66386279007787
workflow1,Q3,workflow1_Q3_q0005,1.25,greedy,59.79218274311403,65.77140101742545,74.74022842889254,59.79218274311403,75.5805869337378,63.08348100128162
workflow1,Q3,workflow1_Q3_q0006,1.25,greedy,37.31263754108688,41.04390129519557,46.6407969263586,37.31263754108688,50.7793077163667,40.35360958547191
workflow1,Q3,workflow1_Q3_q0007,1.25,greedy,45.52126877992418,50.0733956579166,56.901585974905224,45.52126877992418,61.0639615331604,49.532568174061964
workflow1,Q3,workflow1_Q3_q0008,1.25,single_cloud,22.871505207459943,25.15865572820594,28.58938150932493,26.696117196261586,30.236300518507722,22.871505207459943
workflow1,Q3,workflow1_Q3_q0009,1.25,single_cloud,35.7957251181409,39.37529762995499,44.744656397676124,37.132600314418205,45.22034905248929,35.7957251181409
workflow1,Q3,workflow1_Q3_q0010,1.25,greedy,48.151932346515395,52.96712558116694,60.18991543314424,48.151932346515395,64.06124326231088,51.95200470203567
workflow1,Q3,workflow1_Q3_q0011,1.25,single_cloud,28.115266186872873,30.92679280556016,35.14408273359109,28.91703562362836,36.04743498508428,28.115266186872873
workflow1,Q3,workflow1_Q3_q0012,1.25,single_cloud,32.1398148334034,35.35379631674374,40.17476854175425,33.16087847598235,41.19472863402477,32.1398148334034
workflow1,Q3,workflow1_Q3_q0013,1.25,greedy,64.3839364986737,70.82233014854108,80.47992062334214,64.3839364986737,91.13299358845617,74.38325592536368
workflow1,Q3,workflow1_Q3_q0014,1.25,greedy,67.06158510171167,73.76774361188285,83.82698137713959,67.06158510171167,96.28772874031309,78.91456699417256
workflow1,Q3,workflow1_Q3_q0015,1.25,greedy,51.18025241348465,56.29827765483312,63.975315516855815,51.18025241348465,66.87559203418412,54.66319312916352
workflow1,Q3,workflow1_Q3_q0016,1.25,greedy,58.33790796997065,64.17169876696772,72.92238496246331,58.33790796997065,79.77714966580393,65.61449809258679
workflow1,Q3,workflow1_Q3_q0017,1.25,greedy,58.751626427362815,64.62678907009911,73.43953303420352,58.751626427362815,81.04188325125129,66.92810699530656
